num_states,run,symbolic_creation,symbolic_check,explicit_creation,explicit_check
10,0,115475400,8416300,57544300,5759300
10,1,18827100,7978000,39537700,4157500
10,2,14102500,5248700,49935100,4691700
10,3,15548500,5279800,63733400,4541200
10,4,15734900,5851200,45615100,5558300
100,0,20836600,95517500,59592600,273699100
100,1,20394600,90993000,58503600,251441300
100,2,44737500,95594200,64561700,207435800
100,3,18804500,86032100,48145300,260436300
100,4,19067100,92237100,80123500,274773400
250,0,16015600,133588500,32111400,170410200
250,1,18127600,122328100,41928300,183911500
250,2,11371000,136081100,26879000,143433600
250,3,13095600,152177900,40711200,141926300
250,4,13888600,151887400,49938300,143792500
500,0,14318800,171732700,83322400,311996400
500,1,70477500,184169900,76916000,284772500
500,2,12475900,184985700,47934600,356798900
500,3,16781400,138681900,37963700,255773500
500,4,12937300,174094600,79243400,357308000
768,0,19883500,232130500,109044900,433539000
768,1,25125400,202174000,71467100,325560300
768,2,39867300,287084100,97123900,386944700
768,3,30719600,250337300,87326000,343230700
768,4,21274200,201929900,98688500,315662100
1000,0,18363600,372014000,145297300,868275000
1000,1,35840800,342710700,79062900,875781200
1000,2,36852600,359720200,163179400,998917000
1000,3,58584000,393816800,185164900,665853500
1000,4,27758900,532519900,339137000,1052365800
1250,0,38267500,732448400,140429500,1229791400
1250,1,18842800,621190000,123398200,1089093800
1250,2,26342400,660696300,197457400,1138838500
1250,3,36509800,609306600,155673300,1203840300
1250,4,34824300,547469100,158358900,1159028900
1500,0,27676900,667827600,179397300,1020964600
1500,1,21046800,891907100,212694700,1300621000
1500,2,33964200,1055020000,187430000,1012899100
1500,3,19518600,883950000,189350100,1350693300
1500,4,16938400,722593600,140579000,1241921900
2000,0,23717900,1368252300,221548800,1483472600
2000,1,28079000,1593934100,233739500,1168977300
2000,2,30654400,1692480600,354398200,1616241500
2000,3,39248100,1605874100,401789200,1885610200
2000,4,35565100,1848776700,327464900,1551091200
3000,0,21952100,3238762400,720483000,4957782200
3000,1,21267300,2324523100,392349100,5391895400
3000,2,20115400,2087745400,525251800,5584800600
3000,3,53762000,2231624500,492077500,4882067300
3000,4,16645500,1509285600,443477300,4881967900
4000,0,17745600,2119462000,952728100,7506927400
4000,1,19863800,1989966300,1224532500,7436721700
4000,2,18843900,2389800700,720047300,6558556700
4000,3,21920300,2029145300,1135031700,6124569500
4000,4,27465500,2967499000,911119100,8199054200
5000,0,42526900,4570423200,775932300,9327994100
5000,1,32337200,4644382500,1198390600,8364725700
5000,2,22893000,4020333900,949191300,7619296700
5000,3,14811500,3239382400,750307500,8350236100
5000,4,22081200,3586909500,908855200,8630881300
6000,0,12710700,2665263400,1639941900,11769647400
6000,1,12211700,2871431700,1179714200,11344482400
6000,2,10369500,3169793700,1094688000,10738558700
6000,3,17840600,2358406700,1072587000,11083391900
6000,4,10962800,3327961800,1472884300,13692623800
7000,0,23856300,4312077800,2011660000,12648189400
7000,1,16435200,3658468800,3080354600,9696940500
7000,2,10282900,3815029600,2355702900,9455834200
7000,3,10495700,3763165500,2008675900,10915744100
7000,4,12257400,3563939900,1841785200,13219199400
8000,0,18018900,6022396200,1552047400,11778021500
8000,1,13485100,4920755300,2019278300,10022276500
8000,2,10843700,4695450100,5111531200,11194596600
8000,3,19141600,5855184800,3468658000,9592866100
8000,4,24751400,4593635900,3790807900,10595508400
9000,0,67886000,7348469700,3668748700,10261606600
9000,1,19508700,5542596600,3453529200,11248172600
9000,2,37311200,8772785600,4545638800,13220133700
9000,3,40774800,8188250600,4426052700,14016587600
9000,4,28906300,5465532600,3412145200,10442919300
10000,0,36117600,7369130900,4358879500,39670990400
10000,1,49670900,7685619000,4327313700,39753108400
10000,2,31866100,8268563200,3124152000,40641447000
10000,3,31475300,8646758700,6241783900,37419202900
10000,4,27003400,5913083100,5502291400,33749771100
